date,site,id,tl_cm,sl_cm,sex
25-Aug-17,NNE,BEST.NNE2.24,25,19,F
25-Aug-17,NNE,BEST.NNE2.25,30.5,24,F
25-Aug-17,NNE,BEST.NNE2.26,31.5,24,F
25-Aug-17,NNE,BEST.NNE2.01,41.5,32,M
25-Aug-17,NNE,BEST.NNE2.02,42,32,M
25-Aug-17,NNE,BEST.NNE2.04,37.5,29,M
25-Aug-17,NNE,BEST.NNE2.05,36,27.5,M
25-Aug-17,NNE,BEST.NNE2.12,39,30,M
25-Aug-17,NNE,BEST.NNE2.16,37.5,28.5,M
25-Aug-17,NNE,BEST.NNE2.17,38.5,30.5,M
25-Aug-17,NNE,BEST.NNE2.18,36.5,27,M
29-Aug-17,HS1,BEST.HS1.2.03,29,22,F
29-Aug-17,HS1,BEST.HS1.2.06,33.5,25,F
29-Aug-17,HS1,BEST.HS1.2.08,33,25,F
29-Aug-17,HS1,BEST.HS1.2.09,30.5,23,F
29-Aug-17,HS1,BEST.HS1.2.10,28.5,21.5,F
29-Aug-17,HS1,BEST.HS1.2.11,29,22,F
29-Aug-17,HS1,BEST.HS1.2.12,28,21.5,F
29-Aug-17,HS1,BEST.HS1.2.13,29.5,22,F
29-Aug-17,HS1,BEST.HS1.2.01,37.5,28,M
29-Aug-17,HS1,BEST.HS1.2.02,35.5,26.5,M
29-Aug-17,HS1,BEST.HS1.2.04,38.5,29,M
29-Aug-17,HS1,BEST.HS1.2.05,36.5,28,M
29-Aug-17,HS1,BEST.HS1.2.07,32.5,24.5,M
1-Sep-17,XL,BEST.XL2.03,31.5,24,F
1-Sep-17,XL,BEST.XL2.04,25,19,F
1-Sep-17,XL,BEST.XL2.06,30.5,23,F
1-Sep-17,XL,BEST.XL2.07,32,24.5,F
1-Sep-17,XL,BEST.XL2.11,28.5,22,F
1-Sep-17,XL,BEST.XL2.12,35,27,F
1-Sep-17,XL,BEST.XL2.15,28,21.5,F
1-Sep-17,XL,BEST.XL2.16,32,25.5,F
1-Sep-17,XL,BEST.XL2.17,30,22.5,F
1-Sep-17,XL,BEST.XL2.21,32,25,F
1-Sep-17,XL,BEST.XL2.23,27.5,21,F
1-Sep-17,XL,BEST.XL2.25,27,20.5,F
1-Sep-17,XL,BEST.XL2.26,32,24,F
1-Sep-17,XL,BEST.XL2.28,28,21.5,F
1-Sep-17,XL,BEST.XL2.29,31,23.5,F
1-Sep-17,XL,BEST.XL2.30,30.5,23.5,F
1-Sep-17,XL,BEST.XL2.31,31,23,F
1-Sep-17,XL,BEST.XL2.32,29,22,F
1-Sep-17,XL,BEST.XL2.33,27.5,20.5,F
1-Sep-17,XL,BEST.XL2.34,29.5,23,F
1-Sep-17,XL,BEST.XL2.35,30.5,23.5,F
1-Sep-17,XL,BEST.XL2.36,29,22.5,F
1-Sep-17,XL,BEST.XL2.37,28.5,21.5,F
1-Sep-17,XL,BEST.XL2.38,30,23.5,F
1-Sep-17,XL,BEST.XL2.39,26.5,20.5,F
1-Sep-17,XL,BEST.XL2.40,27,21,F
1-Sep-17,XL,BEST.XL2.41,27.5,21,F
1-Sep-17,XL,BEST.XL2.42,32.5,25.5,F
1-Sep-17,XL,BEST.XL2.43,26,20,F
1-Sep-17,XL,BEST.XL2.44,26,20.5,F
1-Sep-17,XL,BEST.XL2.01,34,26.5,M
1-Sep-17,XL,BEST.XL2.02,32.5,25,M
1-Sep-17,XL,BEST.XL2.05,20,14.5,M
1-Sep-17,XL,BEST.XL2.08,41,32,M
1-Sep-17,XL,BEST.XL2.09,28.5,21.5,M
1-Sep-17,XL,BEST.XL2.10,37,29,M
1-Sep-17,XL,BEST.XL2.13,35,26,M
1-Sep-17,XL,BEST.XL2.14,30,22.5,M
1-Sep-17,XL,BEST.XL2.18,37,28.5,M
1-Sep-17,XL,BEST.XL2.19,45,34.5,M
1-Sep-17,XL,BEST.XL2.20,43,33,M
1-Sep-17,XL,BEST.XL2.22,34,25,M
1-Sep-17,XL,BEST.XL2.24,30.5,23,M
1-Sep-17,XL,BEST.XL2.27,31.5,24,M
22-Sep-17,XL,BEST.XL3.04,28,22,F
22-Sep-17,XL,BEST.XL3.07,29.5,22,F
22-Sep-17,XL,BEST.XL3.09,36.6,27.5,F
22-Sep-17,XL,BEST.XL3.10,30.5,22.5,F
22-Sep-17,XL,BEST.XL3.12,28,21,F
22-Sep-17,XL,BEST.XL3.13,30,23,F
22-Sep-17,XL,BEST.XL3.14,28.5,21.5,F
22-Sep-17,XL,BEST.XL3.15,31.5,24,F
22-Sep-17,XL,BEST.XL3.16,26.5,20,F
22-Sep-17,XL,BEST.XL3.17,30,23,F
22-Sep-17,XL,BEST.XL3.18,26.3,20.5,F
22-Sep-17,XL,BEST.XL3.19,31.5,24.5,F
22-Sep-17,XL,BEST.XL3.01,36,28,M
22-Sep-17,XL,BEST.XL3.02,36.5,28,M
22-Sep-17,XL,BEST.XL3.03,36,28,M
22-Sep-17,XL,BEST.XL3.05,34,26,M
22-Sep-17,XL,BEST.XL3.06,40.5,31,M
22-Sep-17,XL,BEST.XL3.08,39,30,M
22-Sep-17,XL,BEST.XL3.11,40,31,M
22-Sep-17,XL,BEST.XL3.20,34,25,M
27-Oct-17,HS1,BEST.HS1.3.10,29,22.5,F
27-Oct-17,HS1,BEST.HS1.3.12,33.5,25.5,F
27-Oct-17,HS1,BEST.HS1.3.14,26,19.5,F
27-Oct-17,HS1,BEST.HS1.3.15,25,18.5,F
27-Oct-17,HS1,BEST.HS1.3.17,29,22.5,F
27-Oct-17,HS1,BEST.HS1.3.18,29,22,F
27-Oct-17,HS1,BEST.HS1.3.19,33.5,26,F
27-Oct-17,HS1,BEST.HS1.3.3,32.5,25.5,F
27-Oct-17,HS1,BEST.HS1.3.5,30,22.5,F
27-Oct-17,HS1,BEST.HS1.3.7,27,20.5,F
27-Oct-17,HS1,BEST.HS1.3.9,24,18,F
27-Oct-17,HS1,BEST.HS1.3.1,43,34,M
27-Oct-17,HS1,BEST.HS1.3.11,39.5,30.5,M
27-Oct-17,HS1,BEST.HS1.3.13,41.5,31.5,M
27-Oct-17,HS1,BEST.HS1.3.2,34.5,26,M
27-Oct-17,HS1,BEST.HS1.3.20,30,23.5,M
27-Oct-17,HS1,BEST.HS1.3.4,41.5,32.5,M
27-Oct-17,HS1,BEST.HS1.3.6,22,16.5,M
27-Oct-17,HS1,BEST.HS1.3.8,38,29.5,M
29-Oct-17,XL,BEST.XL4.02,31,24,F
29-Oct-17,XL,BEST.XL4.08,29.5,22,F
29-Oct-17,XL,BEST.XL4.09,30.5,23,F
29-Oct-17,XL,BEST.XL4.10,29,21,F
29-Oct-17,XL,BEST.XL4.13,30,23,F
29-Oct-17,XL,BEST.XL4.14,29.5,22.5,F
29-Oct-17,XL,BEST.XL4.15,30.5,23,F
29-Oct-17,XL,BEST.XL4.19,23,19.5,F
29-Oct-17,XL,BEST.XL4.21,30.5,23,F
29-Oct-17,XL,BEST.XL4.24,28,21,F
29-Oct-17,XL,BEST.XL4.27,22.5,16.5,F
29-Oct-17,XL,BEST.XL4.01,33.5,25.5,M
29-Oct-17,XL,BEST.XL4.03,35.5,26.5,M
29-Oct-17,XL,BEST.XL4.04,34,26,M
29-Oct-17,XL,BEST.XL4.05,32.5,25,M
29-Oct-17,XL,BEST.XL4.06,32.5,24,M
29-Oct-17,XL,BEST.XL4.07,20.5,15.5,M
29-Oct-17,XL,BEST.XL4.11,34.5,25.5,M
29-Oct-17,XL,BEST.XL4.12,33,25.5,M
29-Oct-17,XL,BEST.XL4.16,40,33.5,M
29-Oct-17,XL,BEST.XL4.17,21.5,16,M
29-Oct-17,XL,BEST.XL4.18,35,27,M
29-Oct-17,XL,BEST.XL4.20,37,28,M
29-Oct-17,XL,BEST.XL4.22,40,30.5,M
29-Oct-17,XL,BEST.XL4.23,31,23.5,M
29-Oct-17,XL,BEST.XL4.25,36,27,M
29-Oct-17,XL,BEST.XL4.26,39,30,M
29-Oct-17,XL,BEST.XL4.28,19,13.5,M
10-Nov-17,HS1,BEST.HS1.4.1,26.5,20.5,F
10-Nov-17,HS1,BEST.HS1.4.4,30,23,F
10-Nov-17,HS1,BEST.HS1.4.2,34.5,26,M
10-Nov-17,HS1,BEST.HS1.4.3,34,25.5,M
10-Nov-17,HS1,BEST.HS1.4.5,36.5,27.5,M
14-Nov-17,NNE,BEST.NNE3.02,31,24.5,F
14-Nov-17,NNE,BEST.NNE3.03,31,23.5,F
14-Nov-17,NNE,BEST.NNE3.05,31,24.5,F
14-Nov-17,NNE,BEST.NNE3.07,28.5,22.5,F
14-Nov-17,NNE,BEST.NNE3.08,28,21,F
14-Nov-17,NNE,BEST.NNE3.09,31,24,F
14-Nov-17,NNE,BEST.NNE3.11,30.5,23.5,F
14-Nov-17,NNE,BEST.NNE3.16,30,23,F
14-Nov-17,NNE,BEST.NNE3.18,31,23.5,F
14-Nov-17,NNE,BEST.NNE3.20,27,20.5,F
14-Nov-17,NNE,BEST.NNE3.21,29,22.5,F
