date,site,id,tl_cm,sl_cm,sex,stage,g_mass_1,g_mass_2
10-Aug-17,NNE,BEST.NNE.18,28,21,F,5,10.714,12.124
10-Aug-17,NNE,BEST.NNE.20,30.5,23,F,2,5.44,5.819
10-Aug-17,NNE,BEST.NNE.21,27,21,F,2,4.067,3.876
10-Aug-17,NNE,BEST.NNE.24,31,22.5,F,5,16.546,15.985
25-Aug-17,NNE,BEST.NNE2.03,36.5,28.5,F,1,3.896,5.884
25-Aug-17,NNE,BEST.NNE2.06,30,23.5,F,5,11.124,11.574
25-Aug-17,NNE,BEST.NNE2.07,33,25.5,F,3,6.861,8.104
25-Aug-17,NNE,BEST.NNE2.08,28,21,F,0,1.365,0.905
25-Aug-17,NNE,BEST.NNE2.09,30,23,F,5,18.951,15.415
25-Aug-17,NNE,BEST.NNE2.10,32.5,25,F,2,7.038,7.358
25-Aug-17,NNE,BEST.NNE2.11,27,20,F,3,9.925,10.447
25-Aug-17,NNE,BEST.NNE2.13,26,20,F,2,1.92,1.948
25-Aug-17,NNE,BEST.NNE2.14,31,24,F,2,5.985,2.013
25-Aug-17,NNE,BEST.NNE2.15,28,21.5,F,2,2.349,2.144
25-Aug-17,NNE,BEST.NNE2.19,31,23,F,5,19.24,22.297
25-Aug-17,NNE,BEST.NNE2.20,34,25.5,F,4,10.119,11.574
25-Aug-17,NNE,BEST.NNE2.21,29.5,22,F,2,2.535,2.775
25-Aug-17,NNE,BEST.NNE2.22,30.5,22.5,F,4,8.896,7.035
25-Aug-17,NNE,BEST.NNE2.23,28.5,21.5,F,4,3.658,10.651
25-Aug-17,NNE,BEST.NNE2.24,25,19,F,5,5.287,2.489
25-Aug-17,NNE,BEST.NNE2.25,30.5,24,F,3,4.669,5.483
25-Aug-17,NNE,BEST.NNE2.26,31.5,24,F,1,1.758,1.612
14-Nov-17,NNE,BEST.NNE3.02,31,24.5,F,2,5.558,5.102
14-Nov-17,NNE,BEST.NNE3.03,31,23.5,F,2,2.634,2.199
14-Nov-17,NNE,BEST.NNE3.05,31,24.5,F,2,4.234,3.773
14-Nov-17,NNE,BEST.NNE3.07,28.5,22.5,F,2,2.44,2.652
14-Nov-17,NNE,BEST.NNE3.08,28,21,F,4,5.686,5.293
14-Nov-17,NNE,BEST.NNE3.09,31,24,F,5,7.025,7.789
14-Nov-17,NNE,BEST.NNE3.11,30.5,23.5,F,3,2.526,3.06
14-Nov-17,NNE,BEST.NNE3.16,30,23,F,3,3.35,4.042
14-Nov-17,NNE,BEST.NNE3.18,31,23.5,F,2,2.399,2.911
14-Nov-17,NNE,BEST.NNE3.20,27,20.5,F,2,2.723,2.363
14-Nov-17,NNE,BEST.NNE3.21,29,22.5,F,5,6.978,5.709
23-Jan-18,NNE,BEST.NNE4.03,31,24,F,0,0,0
23-Jan-18,NNE,BEST.NNE4.04,34.5,26.5,F,0,0,0
7-Aug-17,XL,BEST.XL.01,32,24,F,2,3.98,5.655
7-Aug-17,XL,BEST.XL.02,29.5,23,F,5 (G),18.555,13.829
7-Aug-17,XL,BEST.XL.03,31,23.5,F,2 (G),3.504,4.812
7-Aug-17,XL,BEST.XL.05,33.5,26,F,0,2.174,2.113
7-Aug-17,XL,BEST.XL.06,29,22.5,F,5,12.911,13.309
7-Aug-17,XL,BEST.XL.07,27.5,21.5,F,4,8.76,7.022
7-Aug-17,XL,BEST.XL.08,30.5,23.5,F,3,5.227,4.917
7-Aug-17,XL,BEST.XL.09,34,26.5,F,4,7.622,8.789
7-Aug-17,XL,BEST.XL.10,27,20.5,F,3,5.45,6.031
7-Aug-17,XL,BEST.XL.12,27.5,20.5,F,5,8.692,10.568
7-Aug-17,XL,BEST.XL.16,35,27,F,4,10.239,11.005
7-Aug-17,XL,BEST.XL.17,31,24,F,3,6.891,6.228
7-Aug-17,XL,BEST.XL.19,32,25,F,3,8.784,10.006
7-Aug-17,XL,BEST.XL.22,28.5,21.5,F,4,7.442,9.563
7-Aug-17,XL,BEST.XL.23,26.5,20,F,3,4.809,6.837
7-Aug-17,XL,BEST.XL.24,31,23,F,5,15.553,13.665
7-Aug-17,XL,BEST.XL.25,29.5,21.5,F,5,7.233,9.277
7-Aug-17,XL,BEST.XL.26,29.5,23,F,3,7.611,7.591
7-Aug-17,XL,BEST.XL.27,30,22.5,F,3,4.38,3.904
7-Aug-17,XL,BEST.XL.28,29,21.5,F,3,8.031,6.789
7-Aug-17,XL,BEST.XL.32,29.5,22.5,F,5,13.418,11.578
7-Aug-17,XL,BEST.XL.34,31.5,24,F,5,10.6,9.713
7-Aug-17,XL,BEST.XL.35,31,24.5,F,5,10.344,12.235
7-Aug-17,XL,BEST.XL.36,30.5,23,F,3,4.587,3.398
7-Aug-17,XL,BEST.XL.37,32,24,F,3,6.074,5.67
7-Aug-17,XL,BEST.XL.39,29.5,22,F,5,5.727,10.842
