date,survey,site,lf_quad,lf_removed,sst,bt,lunar_day
7-Aug-17,1,XL,39,46,84,69,14
9-Aug-17,1,HS1,24,29,84,70,-12
10-Aug-17,1,NNE,22,24,85,68,-11
25-Aug-17,2,NNE,23,26,83,69,4
29-Aug-17,2,HS1,8,13,84,72,8
1-Sep-17,2,XL,30,44,84,68,11
22-Sep-17,3,XL,15,20,82,69,2
27-Oct-17,4,HS1,9,19,77,75,8
29-Oct-17,4,XL,3,28,76,75,10
10-Nov-17,5,HS1,3,5,77,75,-8
14-Nov-17,5,NNE,13,21,76,75,-4
16-Nov-17,5,XL,1,16,76,74,-2
18-Dec-17,6,XL,4,7,71,69,0
20-Dec-17,6,HS1,1,1,72,70,2
23-Jan-18,6,NNE,6,5,70,68,7
